IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
CDV,Merle K (Mudhole) Smith,Cordova,AK,60.49183389,-37.61900194,22.87283195,-4.9656,-113.5773343,465,298.4226657,-145.4776503,122.3748433,-23.102807,5.7618,-133.1137534,320,206.8862466
CEC,Jack McNamara ,Crescent City,CA,41.78015722,-37.61900194,4.16115528,-4.9656,-20.66263266,465,444.3373673,-124.2365333,122.3748433,-1.86169,5.7618,-10.72668544,320,309.2733146
CHA,Lovell ,Chattanooga,TN,35.03526833,-37.61900194,-2.58373361,-4.9656,12.82978761,465,477.8297876,-85.20378778,122.3748433,37.17105552,5.7618,214.1721877,320,534.1721877
CHO,Charlottesville-Albermarle,Charlottesville,VA,38.13863889,-37.61900194,0.51963695,-4.9656,-2.580309239,465,462.4196908,-78.45286111,122.3748433,43.92198219,5.7618,253.069677,320,573.069677
CIC,Chico Municipal,Chico,CA,39.79538278,-37.61900194,2.17638084,-4.9656,-10.8070367,465,454.1929633,-121.8584231,122.3748433,0.5164202,5.7618,2.975509908,320,322.9755099
CID,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-37.61900194,4.26558639,-4.9656,-21.18119578,465,443.8188042,-91.71087222,122.3748433,30.66397108,5.7618,176.6796686,320,496.6796686
CIU,Chippewa County International,Sault Ste. Marie,MI,46.25075194,-37.61900194,8.63175,-4.9656,-42.8618178,465,422.1381822,-84.47238528,122.3748433,37.90245802,5.7618,218.3863826,320,538.3863826
CLD,MC Clellan-Palomar Airport,NA,NA,33.127231,-37.61900194,-4.49177094,-4.9656,22.30433778,465,487.3043378,-117.278727,122.3748433,5.0961163,5.7618,29.3628029,320,349.3628029
CLL,Easterwood ,College Station,TX,30.58858944,-37.61900194,-7.0304125,-4.9656,34.91021631,465,499.9102163,-96.36382417,122.3748433,26.01101913,5.7618,149.87029,320,469.87029
CMI,University of Illinois-Willard,Champaign Urbana,IL,40.03925,-37.61900194,2.42024806,-4.9656,-12.01798377,465,452.9820162,-88.27805556,122.3748433,34.09678774,5.7618,196.4588716,320,516.4588716
CMX,Houghton County Memorial,Hancock,MI,47.16841722,-37.61900194,9.54941528,-4.9656,-47.41857651,465,417.5814235,-88.48906083,122.3748433,33.88578247,5.7618,195.2431014,320,515.2431014
CNY,Canyonlands ,Moab,UT,38.75495611,-37.61900194,1.13595417,-4.9656,-5.640694027,465,459.359306,-109.7548439,122.3748433,12.6199994,5.7618,72.71391254,320,392.7139125
COD,Yellowstone Regional,Cody,WY,44.52019417,-37.61900194,6.90119223,-4.9656,-34.26856014,465,430.7314399,-109.0237961,122.3748433,13.3510472,5.7618,76.92606376,320,396.9260638
COS,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-37.61900194,1.18680362,-4.9656,-5.893192055,465,459.1068079,-104.70025,122.3748433,17.6745933,5.7618,101.8374717,320,421.8374717
COU,Columbia Regional,Columbia,MO,38.81809306,-37.61900194,1.19909112,-4.9656,-5.954206865,465,459.0457931,-92.21962917,122.3748433,30.15521413,5.7618,173.7483128,320,493.7483128
CPR,Natrona County Intl,Casper,WY,42.90835556,-37.61900194,5.28935362,-4.9656,-26.26481434,465,438.7351857,-106.4644661,122.3748433,15.9103772,5.7618,91.67241135,320,411.6724114
